timestamp,open,high,low,close,volume
2013-07-12,193.2730,194.2450,191.2910,193.0820,901269
2013-07-11,191.4550,194.8270,190.8180,192.3820,1540121
2013-07-10,188.5820,190.8730,188.0640,188.7730,1304699
2013-07-09,189.6360,189.6360,186.6090,188.1270,1346895
2013-07-08,187.6910,189.0730,185.8730,186.9000,2256265
2013-07-05,194.9090,195.7820,190.6270,191.1180,3222786
2013-07-04,194.3640,194.5270,190.3550,193.4550,1869742
2013-07-03,193.8000,194.7910,192.0640,193.3450,2588146
2013-07-02,194.7270,197.2000,194.5450,196.2180,1946214
2013-07-01,192.8000,195.2360,192.5450,194.4820,2557852
2013-06-28,190.0000,195.4730,189.8180,194.5000,1387920
2013-06-27,189.1000,189.6360,186.4090,187.7550,2101600
2013-06-26,189.6360,190.2450,185.5450,186.7000,1745046
2013-06-25,192.0000,192.3640,186.9360,187.8640,3173159
2013-06-24,188.8910,191.4550,187.1820,190.8450,3480114
2013-06-21,188.8910,190.9000,186.7730,189.7090,2986951
2013-06-20,194.5450,194.5450,188.5910,190.1360,1790382
2013-06-19,198.5090,198.5090,196.0360,197.5360,836099
2013-06-18,199.6360,199.8180,197.3450,198.3640,1117364
2013-06-17,200.8730,201.2730,196.4730,200.2640,1460030
2013-06-14,196.9090,200.8000,195.4730,200.2910,1547332
2013-06-13,193.6820,196.9180,193.6820,194.1550,916317
2013-06-12,195.2550,198.0910,193.6730,196.5910,1561681
2013-06-11,201.9270,202.7270,195.1550,195.7090,1697603
2013-06-10,208.8180,210.3730,201.8180,203.3270,1301245
2013-06-07,209.7550,210.4820,206.9360,207.5360,944686
2013-06-06,205.0910,211.0910,204.2270,209.7450,1119085
2013-06-05,206.7730,208.0270,203.9820,206.2360,2149510
2013-06-04,209.0910,212.0820,206.7270,207.2910,1155654
2013-06-03,209.0910,210.3640,206.3000,208.0910,942805
2013-05-31,214.9090,215.6000,208.9090,209.8730,1541612
2013-05-30,217.5820,217.8000,213.1270,215.0450,1661264
2013-05-29,223.4550,224.0180,219.7090,221.0360,987437
2013-05-28,221.8640,224.8910,221.6360,224.1360,1758922
2013-05-27,219.2730,222.7270,217.2730,221.6360,1256062
2013-05-24,216.1450,219.9820,214.1270,218.9090,1214692
2013-05-23,217.0910,219.2450,211.2550,213.3550,1409194
2013-05-22,221.2730,222.9000,218.9090,220.0180,1112996
2013-05-21,220.6360,224.3640,218.5640,220.0000,1222546
2013-05-20,222.9730,224.3450,218.9180,219.7550,1258895
2013-05-17,218.9910,224.3000,218.7640,223.3820,1905585
2013-05-16,215.1090,221.4550,215.1090,219.1640,1316628
2013-05-15,209.0910,217.8820,209.0910,216.6640,2082135
2013-05-14,209.1910,212.0000,207.5820,208.7360,916740
2013-05-13,211.8180,213.9000,208.3640,209.1000,992547
2013-05-10,208.2730,212.7000,208.2730,212.0180,1110648
2013-05-09,210.8820,211.8180,208.1550,209.5640,1048592
2013-05-08,211.8180,213.8000,208.4090,210.5550,1239568
2013-05-07,208.1820,213.0820,208.1820,211.5910,1410167
2013-05-06,204.9450,208.8180,201.7550,208.0820,1980809
2013-05-03,212.5450,212.9090,204.0820,205.4550,2076135
2013-05-02,211.1270,215.7730,210.6910,213.0550,1625608
2013-04-30,209.9820,212.7270,207.6550,211.4820,1871463
2013-04-29,208.7270,210.8360,206.1000,209.5180,1324736
2013-04-26,213.6180,216.0000,204.6000,208.0550,4587418
2013-04-25,213.0910,215.7910,211.3550,214.0820,2218276
2013-04-23,209.0910,212.7270,204.5820,211.2180,2025397
2013-04-22,203.8180,210.7270,203.2090,208.7180,2064106
2013-04-18,196.0180,205.1270,196.0180,204.1270,1885741
2013-04-17,196.7090,201.8640,196.3640,199.5360,1677000
2013-04-16,190.0000,197.0910,190.0000,196.2000,1680322
2013-04-15,187.2730,194.2820,187.2730,190.4730,1793600
2013-04-12,186.9090,191.0550,186.4450,189.9910,955741
2013-04-11,185.7000,189.9820,185.7000,189.0550,2343952
2013-04-10,181.4360,183.2730,178.5820,182.6270,1738479
2013-04-09,181.2730,185.4360,178.8360,179.9910,1691877
2013-04-08,181.2730,182.8360,179.4730,179.7820,1163943
2013-04-05,183.6180,183.6180,179.0910,181.4450,1869098
2013-04-04,185.4550,185.9730,182.4090,183.4820,1427652
2013-04-03,190.7090,193.2730,186.4000,187.3640,1143500
2013-04-02,190.9090,191.4910,189.0180,190.4450,796252
2013-04-01,191.8360,192.7270,188.8000,191.2360,1988646
2013-03-28,186.3450,192.1820,182.7820,190.0640,1863191
2013-03-26,183.2360,186.6910,182.3820,185.6550,1482679
2013-03-25,189.9270,190.8730,183.4550,184.1640,2573830
2013-03-22,190.0000,190.6360,184.9270,186.9730,2430923
2013-03-21,184.2820,192.4550,184.0000,188.2090,6042680
2013-03-20,187.2730,188.0730,181.2730,182.1090,2013484
2013-03-19,193.1910,194.8640,185.8180,187.4450,3372947
2013-03-18,191.2730,191.7820,188.3550,191.1090,2279580
2013-03-15,200.4550,200.9090,191.9820,194.0270,4897497
2013-03-14,197.8180,202.9450,192.7450,201.9550,3394210
2013-03-13,202.9090,202.9090,196.8820,197.4270,935875
2013-03-12,205.8180,206.7640,202.9090,204.0550,908776
2013-03-11,208.0000,209.2450,204.7730,205.4640,804469
2013-03-08,203.4550,207.5550,203.4550,207.0270,1468946
2013-03-07,200.9090,203.9090,199.6820,203.3360,1114944
2013-03-06,201.2730,201.8090,199.2730,201.1550,948899
2013-03-05,194.1820,199.6360,194.0000,198.8730,1303418
2013-03-04,191.8180,194.4270,190.3820,192.4000,803891
2013-03-01,191.5640,193.9820,190.5450,192.0640,1040870
2013-02-28,199.2730,199.2730,186.5640,189.1450,2401668
2013-02-27,194.5450,197.9270,194.2550,196.7450,1377668
2013-02-26,197.8910,197.8910,191.6450,193.3640,1028962
2013-02-25,199.9090,200.2640,196.4820,198.8730,1096508
2013-02-22,196.1640,199.6730,195.4550,198.4820,1204863
2013-02-21,202.6180,202.6180,195.4730,196.0820,1845982
